Star Wars,My Fair Lady,GoodFellas
0.3288000105894262,0.6766277390988245,0.5545639376748047
0.6166148665959078,0.9288250986261177,0.5942044850761161
0.6213243463653838,0.9326512829055247,0.6247909978969567
0.8079323036050667,1.0505639879586466,0.7249006520844691
0.8155975395929382,1.0548345098547782,0.7805835091751139
0.8611817574589493,1.0744150305008064,0.8122433269855166
0.8675922190449464,1.0825080222672459,0.8963080022125035
0.8707899080936851,1.1001030238349032,0.9267822758380372
0.8966412713596217,1.1519296373475794,0.9384031302056632
0.902799373555679,1.192906191148131,0.9925342304810048
